Model,Dataset,Status,Issue_Details,CSV_Exists
vanilla_transformer,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_FX_returns,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_french_portfolios_25_daily_size_and_bm,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_CRSP_monthly_stock_ret,No_CSV,No CSV file generated,False
vanilla_transformer,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
tide,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
tide,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
tide,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
tide,ftsfr_CDS_bond_basis_non_aggregated,No_CSV,No CSV file generated,False
tide,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
tide,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
tide,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
tide,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
tide,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
tide,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
tide,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
tide,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
tide,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
tide,ftsfr_FX_returns,No_CSV,No CSV file generated,False
tide,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
tide,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
tide,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
tide,ftsfr_french_portfolios_25_daily_size_and_bm,No_CSV,No CSV file generated,False
tide,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
tide,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
tide,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
tide,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
tide,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
tide,ftsfr_CRSP_monthly_stock_ret,No_CSV,No CSV file generated,False
tide,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
kan,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
kan,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
kan,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
kan,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
kan,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
kan,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
kan,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
kan,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
kan,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
kan,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
kan,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
kan,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
kan,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
kan,ftsfr_FX_returns,No_CSV,No CSV file generated,False
kan,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
kan,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
kan,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
kan,ftsfr_french_portfolios_25_daily_size_and_bm,No_CSV,No CSV file generated,False
kan,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
kan,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
kan,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
kan,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
kan,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
kan,ftsfr_CRSP_monthly_stock_ret,No_CSV,No CSV file generated,False
kan,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
